"Population with at least some secondary education, female (% ages 25 and older)"
"Dimension: Education"
"SDG 4.4 By 2030, substantially increase the number of youth and adults who have relevant skills, including technical and vocational skills, for employment, decent jobs and entrepreneurship"
"Definition: Percentage of the population ages 25 and older that has reached (but not necessarily completed) a secondary level of education."
"Source: UNESCO Institute for Statistics (2020) and Barro and Lee (2018)."
""
"HDI Rank","Country","1990","","1995","","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018","","2019",""
"169"," Afghanistan","2.3","","3.5","","4.5","","6.3","","5.9","","6.6","","7.3","","8.0","","8.8","","8.8","","9.5","","11.4","","13.2","","13.2","a,b"
"69"," Albania","59.5","","60.6","","71.0","","75.4","","80.8","","81.8","","85.2","","87.7","","90.2","","92.7","","93.1","","93.1","","93.5","","93.7","a,c"
"91"," Algeria","10.4","","14.5","","18.6","","20.9","","26.7","","28.5","","30.4","","32.3","","34.1","","34.1","","36.0","","37.5","","39.1","","39.1","a,d"
"36"," Andorra","..","","..","","25.5","","43.4","","60.8","","63.6","","66.4","","69.2","","72.0","","71.7","","71.5","","71.5","","71.5","","71.5","a"
"148"," Angola","..","","..","","..","","..","","..","","..","","..","","..","","22.2","","22.4","","23.0","","23.1","","23.1","","23.1","a,c"
"46"," Argentina","36.3","","41.2","","46.1","","56.1","","52.3","","53.0","","55.0","","55.7","","55.9","","56.2","","56.2","","57.7","","59.2","","59.2","a"
"81"," Armenia","85.0","","87.3","","90.0","","92.4","","95.5","","96.1","","96.3","","96.5","","96.7","","96.9","","96.9","","96.9","","96.9","","97.3","a"
"8"," Australia","89.8","","87.9","","87.8","","90.3","","93.4","","93.7","","94.3","","91.1","","91.3","","90.0","","90.0","","90.6","","91.0","","91.0","a"
"18"," Austria","49.0","","53.9","","77.0","","100.0","","100.0","","100.0","","100.0","","100.0","","98.7","","98.7","","98.7","","100.0","","100.0","","100.0","a"
"88"," Azerbaijan","..","","..","","90.0","","90.0","","93.8","","93.8","","93.8","","93.8","","93.8","","93.8","","93.9","","93.7","","93.9","","93.9","a"
"58"," Bahamas","..","","..","","91.2","","89.8","","88.5","","88.2","","87.9","","87.6","","87.4","","87.4","","87.4","","88.0","","88.0","","88.0","a"
"42"," Bahrain","45.5","","51.8","","56.6","","56.5","","56.7","","58.1","","59.5","","60.9","","62.4","","63.8","","65.2","","66.6","","68.1","","68.1","a"
"133"," Bangladesh","12.3","","16.7","","22.0","","25.6","","34.1","","29.6","","30.6","","28.7","","30.7","","36.5","","36.9","","38.4","","39.8","","39.8","a"
"58"," Barbados","64.6","","76.3","","78.6","","87.5","","89.5","","90.4","","91.3","","92.1","","93.0","","93.0","","93.9","","94.2","","94.6","","94.6","a,e"
"53"," Belarus","..","","..","","..","","..","","87.0","","87.0","","87.0","","87.0","","87.0","","87.0","","87.0","","87.0","","87.2","","87.2","a,d"
"14"," Belgium","60.9","","67.5","","74.5","","74.1","","77.1","","77.5","","77.7","","79.4","","80.1","","82.2","","82.6","","84.7","","84.7","","84.7","a"
"110"," Belize","21.1","","35.3","","49.5","","65.1","","76.4","","76.8","","77.1","","77.5","","77.9","","78.3","","78.6","","78.9","","78.9","","79.0","a,d"
"158"," Benin","4.5","","6.7","","8.4","","9.5","","11.3","","12.4","","13.5","","14.6","","15.8","","15.8","","16.9","","18.2","","18.2","","18.3","a,c"
"129"," Bhutan","..","","..","","..","","..","","..","","..","","5.8","","9.3","","12.8","","16.3","","19.8","","23.3","","23.3","","23.3","a"
"107"," Bolivia (Plurinational State of)","37.0","","39.3","","38.2","","37.5","","42.9","","44.2","","45.5","","47.6","","49.6","","52.8","","52.8","","53.1","","53.1","","53.1","a"
"73"," Bosnia and Herzegovina","..","","..","","..","","..","","44.8","","44.9","","53.1","","61.3","","69.5","","71.7","","73.1","","73.5","","74.0","","74.0","a"
"100"," Botswana","41.0","","52.8","","60.9","","67.9","","73.6","","76.5","","79.4","","82.2","","85.1","","85.1","","88.0","","88.8","","89.6","","89.6","a,e"
"84"," Brazil","20.6","","26.5","","33.7","","44.6","","51.9","","54.6","","55.8","","57.2","","57.7","","58.9","","59.5","","60.6","","61.6","","61.6","a"
"47"," Brunei Darussalam","51.0","","59.4","","61.6","","60.7","","63.9","","64.8","","65.8","","66.7","","67.7","","67.7","","68.6","","69.1","","69.5","","69.5","a,b"
"56"," Bulgaria","49.1","","65.3","","81.5","","88.2","","91.7","","92.4","","93.0","","93.0","","93.1","","93.7","","94.2","","94.4","","94.4","","94.4","a"
"182"," Burkina Faso","..","","..","","..","","5.0","","5.5","","5.6","","5.8","","5.9","","6.0","","6.0","","6.0","","6.0","","6.0","","6.1","a,c"
"185"," Burundi","1.8","","2.4","","3.1","","4.0","","5.3","","5.7","","6.2","","6.6","","7.1","","7.1","","7.1","","7.5","","7.5","","7.5","a,c"
"126"," Cabo Verde","..","","..","","..","","..","","..","","..","","..","","..","","..","","28.2","","28.4","","28.7","","28.7","","28.8","a"
"144"," Cambodia","4.6","","5.3","","6.1","","8.2","","9.9","","10.7","","11.5","","12.3","","13.2","","13.2","","14.0","","15.1","","15.1","","15.1","a,b"
"153"," Cameroon","8.7","","12.0","","15.6","","21.0","","26.4","","27.7","","29.0","","30.3","","31.7","","31.7","","32.5","","32.5","","32.7","","32.7","a,d"
"16"," Canada","83.3","","85.7","","88.2","","99.8","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0","a"
"188"," Central African Republic","4.0","","5.8","","7.4","","8.8","","10.1","","10.7","","11.2","","11.8","","12.3","","12.3","","12.9","","13.2","","13.4","","13.4","a,b"
"187"," Chad","..","","..","","..","","..","","..","","..","","..","","..","","..","","1.7","","1.7","","1.7","","1.7","","1.7","a,c"
"43"," Chile","49.0","","53.8","","65.6","","75.4","","73.3","","71.2","","72.7","","74.3","","75.6","","76.9","","77.3","","77.8","","77.8","","77.8","a"
"85"," China","28.5","","35.5","","43.4","","51.0","","58.7","","61.4","","64.2","","67.0","","69.8","","69.8","","72.6","","74.0","","75.4","","76.0","a,b"
"83"," Colombia","31.0","","37.0","","38.0","","41.1","","44.4","","45.7","","46.8","","48.8","","50.3","","51.1","","53.1","","54.4","","55.7","","55.7","a"
"149"," Congo","22.0","","31.1","","39.6","","40.1","","39.7","","41.0","","42.3","","43.7","","45.0","","45.0","","46.3","","46.7","","46.7","","46.7","a,e"
"175"," Congo (Democratic Republic of the)","5.2","","10.0","","11.0","","11.9","","12.8","","13.2","","13.6","","27.5","","30.6","","33.6","","36.7","","36.7","","36.7","","36.7","a"
"62"," Costa Rica","33.2","","37.9","","42.0","","47.9","","49.1","","50.1","","50.7","","52.6","","54.5","","53.8","","53.6","","54.5","","55.4","","55.4","a"
"43"," Croatia","42.3","","55.2","","68.6","","76.9","","83.6","","85.0","","87.3","","89.7","","92.0","","94.3","","94.5","","94.5","","94.5","","94.6","a"
"70"," Cuba","51.9","","60.8","","65.8","","69.8","","76.5","","77.8","","79.1","","81.5","","83.9","","85.1","","86.2","","86.7","","86.7","","85.8","a,b"
"33"," Cyprus","45.4","","53.4","","59.1","","65.8","","72.2","","73.2","","76.0","","77.0","","77.0","","76.8","","78.2","","79.1","","79.9","","79.9","a"
"27"," Czechia","58.4","","83.2","","99.1","","99.8","","99.8","","99.8","","99.9","","99.8","","99.8","","99.8","","99.8","","100.0","","100.0","","100.0","a"
"162"," Côte d'Ivoire","5.5","","7.3","","9.4","","11.8","","14.0","","14.7","","15.3","","15.9","","16.6","","16.6","","17.2","","17.8","","17.8","","17.9","a,b"
"10"," Denmark","58.0","","67.1","","87.3","","100.0","","96.1","","96.5","","95.5","","99.7","","89.1","","90.1","","89.2","","90.2","","91.2","","91.2","a"
"88"," Dominican Republic","25.9","","31.4","","30.9","","39.8","","53.3","","54.7","","55.6","","56.5","","57.2","","58.6","","58.6","","58.6","","58.6","","59.7","a"
"86"," Ecuador","33.3","","36.7","","37.4","","38.6","","44.5","","44.9","","46.5","","47.6","","48.2","","52.1","","51.9","","52.5","","52.5","","52.5","a"
"116"," Egypt","15.4","","21.1","","28.3","","35.2","","49.9","","53.3","","56.7","","60.0","","63.4","","66.8","","70.1","","73.5","","73.5","","73.5","a,b"
"124"," El Salvador","15.1","","20.0","","26.7","","34.2","","39.0","","36.0","","36.8","","38.0","","39.4","","40.9","","40.1","","39.9","","39.9","","39.9","a"
"29"," Estonia","58.5","","74.7","","85.9","","96.0","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0","a"
"138"," Eswatini (Kingdom of)","29.8","","28.4","","24.0","","16.4","","21.9","","23.2","","24.6","","26.0","","27.3","","27.3","","28.7","","30.0","","31.3","","31.3","a,b"
"173"," Ethiopia","..","","..","","..","","3.3","","7.0","","7.8","","8.7","","9.7","","10.8","","10.8","","11.2","","11.2","","11.5","","11.5","a,c"
"93"," Fiji","30.3","","44.4","","48.6","","55.0","","64.3","","66.6","","69.0","","71.5","","73.9","","73.9","","76.3","","79.4","","79.4","","79.4","a"
"11"," Finland","65.9","","86.2","","94.6","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0","a"
"26"," France","44.4","","57.1","","67.6","","71.3","","76.4","","77.2","","78.0","","78.7","","79.7","","80.6","","81.0","","81.7","","81.7","","81.7","a"
"119"," Gabon","29.8","","36.0","","42.7","","48.8","","53.9","","56.0","","58.1","","60.2","","62.3","","62.3","","64.4","","65.6","","65.6","","66.2","a,b"
"172"," Gambia","5.5","","8.5","","9.7","","13.2","","17.4","","19.4","","21.3","","23.3","","25.3","","25.3","","27.3","","29.0","","30.7","","31.5","a,d"
"61"," Georgia","83.9","","86.2","","88.7","","91.2","","93.7","","94.2","","94.7","","95.4","","96.1","","96.8","","97.4","","97.2","","97.2","","97.2","a"
"6"," Germany","47.7","","60.6","","70.3","","96.5","","96.0","","96.3","","96.3","","96.2","","96.4","","96.2","","96.0","","95.9","","95.9","","95.9","a"
"138"," Ghana","26.7","","32.2","","36.8","","40.3","","45.2","","46.9","","48.5","","50.2","","51.8","","51.8","","53.5","","54.6","","55.7","","55.7","a,b"
"32"," Greece","34.9","","41.9","","48.5","","53.9","","59.5","","60.6","","61.6","","62.6","","63.7","","65.4","","61.5","","61.5","","62.0","","62.0","a"
"127"," Guatemala","11.9","","13.7","","15.5","","13.3","","18.3","","19.8","","21.2","","22.7","","37.4","","37.4","","38.4","","38.4","","38.4","","38.6","a"
"122"," Guyana","32.5","","40.6","","51.4","","55.9","","60.3","","62.3","","64.2","","66.2","","68.1","","68.1","","70.1","","70.9","","70.9","","70.9","a,b"
"170"," Haiti","10.8","","13.5","","16.6","","19.7","","22.4","","23.2","","24.0","","24.9","","25.7","","25.7","","26.5","","26.9","","26.9","","26.9","a,b"
"132"," Honduras","18.6","","21.8","","23.8","","26.3","","28.0","","28.2","","28.0","","30.7","","33.4","","33.7","","34.2","","33.2","","32.2","","32.2","a"
"4"," Hong Kong, China (SAR)","47.9","","55.4","","61.1","","66.4","","70.8","","72.2","","73.0","","73.8","","74.7","","75.7","","75.7","","76.6","","76.6","","77.1","a"
"40"," Hungary","34.8","","65.0","","83.8","","88.0","","97.4","","97.8","","97.9","","98.0","","95.6","","95.6","","95.7","","95.7","","96.3","","96.4","a"
"4"," Iceland","46.5","","52.2","","71.6","","91.0","","98.0","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0","a,f"
"131"," India","13.4","","15.0","","23.5","","21.8","","27.0","","27.7","","27.7","","27.7","","27.7","","27.7","","27.7","","27.7","","27.7","","27.7","a,g"
"107"," Indonesia","13.8","","17.4","","26.1","","34.8","","38.6","","39.9","","40.9","","41.9","","42.9","","44.5","","44.5","","44.5","","46.8","","46.8","a"
"70"," Iran (Islamic Republic of)","26.0","","34.7","","47.9","","58.5","","60.0","","60.9","","61.8","","64.9","","65.8","","66.6","","67.4","","67.4","","67.4","","67.4","a"
"123"," Iraq","12.8","","17.5","","21.2","","25.2","","27.8","","29.8","","31.8","","33.8","","35.8","","35.8","","37.8","","38.7","","39.5","","39.5","a"
"2"," Ireland","59.6","","66.9","","72.9","","74.8","","79.4","","80.5","","80.8","","81.0","","81.2","","81.5","","81.7","","81.9","","81.9","","81.9","a,f"
"19"," Israel","66.7","","70.1","","71.4","","72.6","","83.1","","84.0","","84.4","","87.0","","87.3","","87.3","","87.8","","87.8","","87.8","","87.9","a"
"29"," Italy","44.1","","52.2","","59.3","","63.5","","69.1","","70.2","","71.2","","72.3","","73.4","","74.3","","75.0","","75.6","","75.6","","75.9","a"
"101"," Jamaica","27.2","","39.9","","51.1","","55.5","","59.7","","61.5","","63.4","","65.2","","67.1","","68.9","","69.4","","69.9","","69.9","","70.0","a"
"19"," Japan","63.4","","71.2","","77.2","","81.6","","87.0","","88.5","","90.0","","91.5","","93.0","","93.0","","94.5","","94.8","","95.2","","95.3","a,b"
"102"," Jordan","20.8","","31.4","","36.8","","50.1","","69.5","","71.7","","74.0","","76.2","","78.5","","78.5","","80.7","","81.4","","82.0","","82.2","a,b"
"51"," Kazakhstan","59.8","","70.4","","81.5","","94.2","","96.1","","95.3","","96.0","","96.7","","97.4","","98.1","","98.8","","98.5","","99.3","","99.3","a"
"143"," Kenya","8.4","","11.3","","15.1","","22.0","","25.3","","26.0","","26.6","","27.2","","27.8","","28.0","","28.6","","29.2","","29.8","","29.8","a,b"
"23"," Korea (Republic of)","57.6","","64.3","","69.6","","74.1","","77.1","","77.7","","78.4","","79.0","","79.7","","80.3","","80.4","","80.4","","80.4","","80.4","a"
"64"," Kuwait","41.9","","42.6","","46.6","","46.4","","54.7","","55.1","","55.6","","55.8","","56.8","","54.8","","55.4","","56.0","","56.6","","56.6","a"
"120"," Kyrgyzstan","71.1","","79.3","","87.3","","91.3","","94.5","","95.4","","96.2","","97.1","","97.9","","98.8","","98.7","","98.6","","98.6","","99.1","a,b"
"137"," Lao People's Democratic Republic","6.0","","9.8","","14.0","","18.3","","22.9","","24.8","","26.6","","28.5","","30.4","","30.4","","32.3","","33.6","","35.0","","35.1","a,b"
"37"," Latvia","58.3","","74.9","","82.9","","98.0","","98.6","","98.9","","98.9","","99.0","","99.6","","99.4","","99.4","","99.4","","100.0","","100.0","a,f"
"92"," Lebanon","..","","..","","..","","53.0","","53.0","","53.0","","53.0","","53.0","","53.0","","53.0","","53.0","","53.0","","54.3","h","54.3","a,h"
"165"," Lesotho","13.4","","18.2","","23.7","","26.8","","17.3","","18.9","","20.4","","22.0","","23.6","","23.6","","29.8","","31.8","","32.8","","33.0","a,e"
"175"," Liberia","8.4","","10.0","","11.4","","13.0","","15.4","","15.9","","16.3","","16.8","","17.3","","17.3","","17.8","","18.5","","18.5","","18.5","a,b"
"105"," Libya","17.0","","24.4","","34.0","","45.1","","55.5","","58.0","","60.6","","63.1","","65.7","","65.7","","68.2","","69.4","","69.4","","70.5","a,e"
"34"," Lithuania","65.4","","72.7","","80.3","","83.7","","88.6","","89.3","","89.1","","90.2","","91.1","","91.8","","93.7","","94.3","","94.3","","94.3","a"
"23"," Luxembourg","46.3","","53.2","","60.7","","68.4","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0","","100.0","a"
"174"," Malawi","2.8","","3.3","","4.5","","5.7","","11.1","","12.1","","13.0","","14.0","","14.9","","14.9","","15.9","","16.7","","17.6","","17.6","a,b"
"62"," Malaysia","34.7","","45.3","","49.9","","42.9","","65.1","","66.3","","67.3","","68.1","","68.8","","70.5","","72.2","","72.2","","72.2","","72.2","a"
"95"," Maldives","22.9","","20.5","","17.9","","10.7","","23.6","","27.3","","30.5","","33.6","","36.7","","39.8","","42.9","","44.9","","44.9","","45.4","a,c"
"184"," Mali","1.1","","1.4","","1.7","","2.2","","8.1","","7.7","","7.6","","7.5","","7.4","","7.3","","7.3","","7.3","","7.3","","7.3","a,d"
"28"," Malta","25.0","","29.4","","33.3","","58.8","","63.4","","64.7","","68.6","","71.1","","72.7","","73.2","","74.3","","76.5","","78.7","","78.7","a"
"117"," Marshall Islands","..","","..","","..","","..","","91.6","","91.6","","91.6","","91.6","","91.6","","91.6","","91.6","","91.6","","91.6","","91.6","a"
"157"," Mauritania","2.0","","3.4","","4.9","","6.4","","8.3","","9.0","","9.7","","10.4","","11.1","","11.1","","11.8","","12.2","","12.7","","12.7","a,b"
"66"," Mauritius","26.0","","32.5","","33.3","","43.1","","49.6","","49.4","","52.3","","55.0","","57.6","","60.3","","63.0","","64.3","","65.7","","65.8","a,b"
"74"," Mexico","27.8","","35.1","","37.0","","44.5","","51.0","","53.3","","55.7","","54.8","","56.1","","57.8","","58.4","","60.2","","62.2","","62.2","a"
"90"," Moldova (Republic of)","65.6","","71.8","","76.5","","85.9","","92.1","","92.6","","93.6","","94.3","","95.2","","95.5","","95.9","","96.2","","96.6","","96.6","a"
